key	accession	shape	description
RT_MS1_IQRRate	QCPRIDE:502F90C949DF08AF0C6A	scalar	Count of finite-RT scans in the closed RT interquartile interval divided by its width in seconds, MS1; ID-free proxy.
AvgCycleTime_MS1	QCPRIDE:2C6256D0D438E08FF913	scalar	Mean strictly positive adjacent sorted MS1 RT differences, in seconds.
MedianTIC_in_RT_MS1_IQR	QCPRIDE:384CE930503A31FD6181	scalar	Median TIC in middle two scan-index quartile groups (recycle-and-sort assignment), MS1. ID-free proxy; not an identified-peptide metric.
TIC_MS1_MedianInHalfRange	QCPRIDE:866968003763CDDE9CF5	tuple	Median TIC in the shortest window containing ceil(n/2) finite-RT MS1 scans; first window wins ties. ID-free proxy.
RT_TIC_Quantiles	MS:4000183	tuple	Four intervals at first scan-wise cumulative MS1 TIC quartile crossings, divided by the MS1 time span; this uses accumulation, not integration.
NumberOfSpectra_MS2	MS:4000060	scalar	Count of all MS2 spectra, including empty scans.
RtRange_MS2	QCPRIDE:55D96D3835BFEE5AD7AB	tuple	Minimum and maximum finite RT in seconds, MS2.
EmptyScans_MS2	QCPRIDE:3BE75D0FF4AD59C42832	scalar	MS2 scans with no valid positive intensity (zero TIC).
PeakDensity_MS2_Quantiles	MS:4000062	tuple	25th, 50th, 75th percentiles of valid peaks per MS2 spectrum; empty scans included.
BasePeak_MS2_Mean	QCPRIDE:25C2A0E5AF8883957F5E	scalar	Mean of per-spectrum maximum valid intensity, excluding scans with no valid peaks, MS2.
TIC_MS2_Median	QCPRIDE:D249949F6A3F6A3EBF3E	scalar	Median sum of valid peak intensities per scan, MS2.
TIC_MS2_CV	QCPRIDE:8AF7F9131561A60EDB62	scalar	Sample standard deviation (ddof=1) divided by mean TIC, MS2.
TIC_MS2_Area	QCPRIDE:9FD64B0DA7A59E8514E2	scalar	Trapezoidal TIC integral against RT, stable time order, intensity times seconds, MS2.
TIC_MS2_Area_RTQuantiles	QCPRIDE:E191EB22593B10C83302	tuple	Four exact integrals of piecewise-linear TIC split at scan-RT quartiles, intensity times seconds, MS2.
TIC_MS2_QuartileLogRatios	QCPRIDE:80B75AE92157AF8E1090	tuple	Natural logs of TIC Q2/Q1, Q3/Q2, Q4/Q3 (Q4=max), MS2.
TIC_MS2_ChangeQuartileLogRatios	QCPRIDE:760CEDD06B184EE701FF	tuple	Natural logs of absolute adjacent TIC change Q2/Q1, Q3/Q2, Q4/Q3, MS2.
ScanRate_MS2	QCPRIDE:D3718560FE9B29568175	scalar	Count of finite-RT scans divided by that level's RT span, in scans per minute, MS2.
FastestFrequency_MS2	MS:4000066	scalar	Maximum scan count in a closed 60-second window divided by 60, including short runs.
RT_MS2_Quantiles	MS:4000185	tuple	Four consecutive scan-RT quartile widths divided by the MS2 time span.
ObservedMzRange_MS2	QCPRIDE:47E4D2D8B1F1F4D61C19	tuple	Min/max valid peak m/z; this is an observed range, not the instrument scan window, MS2.
ScanWindow_MS2	QCPRIDE:BBD580CB1663521C4976	tuple	Envelope of recorded scan-window bounds in Th (m/z), MS2.
PeakTypes_MS2	QCPRIDE:02BD471D53BE3411913F	table	Counts of centroid, profile and unknown scan representations, MS2.
EstimatedPeakTypes_MS2	QCPRIDE:201C9F534D91EC37FC1D	table	Optional OpenMS PeakTypeEstimator counts for scans with more than ten peaks, MS2; empty if estimation was not requested or eligible.
Polarity_MS2	QCPRIDE:6A1C64BAB5CCF09A5DE3	table	Counts by recorded polarity, including unknown, MS2.
InvalidPeakCount_MS2	QCPRIDE:0F8B65A410A572FEE4D7	scalar	Count of excluded peaks with non-finite/nonpositive m/z or non-finite/negative intensity, MS2.
TIC_MS2_SignalJump10x_Count	QCPRIDE:4BE7DF39FCE21F9E3583	scalar	Adjacent sorted-TIC ratios >=10, with strictly positive previous TIC, MS2.
TIC_MS2_SignalFall10x_Count	QCPRIDE:DCF0DBC8D6F83087ED6E	scalar	Adjacent sorted-TIC ratios <=0.1, with strictly positive previous TIC; zero next TIC counts, MS2.
RT_MS2_IQR	QCPRIDE:56E9A52714B2A63AB701	scalar	75th minus 25th percentile of finite retention times, in seconds, MS2.
RT_MS2_IQRRate	QCPRIDE:DC206A3283881BDD1E18	scalar	Count of finite-RT scans in the closed RT interquartile interval divided by its width in seconds, MS2; ID-free proxy.
MzRange_MS2	QCPRIDE:3432120DEC9FAE1739E7	tuple	Range of positive finite first-precursor m/z, not fragment peak m/z, MS2.
PrecursorMz_MS2_Median	QCPRIDE:0DB185A646DB806298FC	scalar	Median positive finite first-precursor m/z, MS2.
PrecursorIntensity_MS2_Quantiles	QCPRIDE:8FB2EFF7D173D0D4C3A2	tuple	Quartiles of recorded positive first-precursor intensity, MS2; no fragment-TIC substitution.
PrecursorIntensity_MS2_Mean	QCPRIDE:36D2085F9869CE667625	scalar	Mean recorded positive first-precursor intensity, MS2.
PrecursorIntensity_MS2_Sd	QCPRIDE:AA281BF4225DD99B5942	scalar	Sample SD of recorded positive first-precursor intensity (ddof=1), MS2.
PrecursorIntensity_MS2_MissingCount	QCPRIDE:37ABD88F90B17EAA841D	scalar	Scans lacking a positive finite first-precursor intensity, including the OpenMS unset default zero, MS2.
IsolationWidth_MS2_Median	QCPRIDE:652589C44AB88BC96F40	scalar	Median positive first-precursor lower+upper isolation offsets in Th (m/z), MS2.
IsolationWidth_MS2_Quantiles	QCPRIDE:482962258BA982FED6BB	tuple	25th, 50th, 75th percentiles of positive first-precursor isolation widths in Th (m/z), MS2.
IsolationWidth_MS2_Min	QCPRIDE:228CD009EF66CB6342FD	scalar	Minimum positive first-precursor isolation width in Th (m/z), MS2.
IsolationWidth_MS2_Max	QCPRIDE:E0ADF25D530854F3543D	scalar	Maximum positive first-precursor isolation width in Th (m/z), MS2.
IsolationWidth_MS2_Count	QCPRIDE:0F163ECB26874F0C65C7	scalar	Count of first-precursor isolation widths with a finite positive value, MS2.
IsolationWidth_MS2_FractionLe15	QCPRIDE:C093A5D8209394150C2B	scalar	Fraction of recorded positive first-precursor isolation widths <=15 Th (m/z), MS2.
IsolationWidth_MS2_FractionGe15	QCPRIDE:DE0B3E119A726F58C6C1	scalar	Fraction of recorded positive first-precursor isolation widths >=15 Th (m/z), MS2.
IsolationPrecursorMz_MS2_Count	QCPRIDE:5C5E15B79F1D0F5E5C1F	scalar	Count of finite positive first-precursor m/z values paired with positive isolation widths, MS2.
IsolationPrecursorMz_MS2_UniqueCount	QCPRIDE:C98D3B2F6D4A5E4D3E1B	scalar	Count of unique first-precursor m/z values after rounding to 0.1 Th, MS2.
IsolationPrecursorMz_MS2_UniqueFraction	QCPRIDE:B7B2C4A7F8F6D1A4C6E9	scalar	Unique first-precursor m/z target count divided by paired isolation-width observations, after 0.1 Th rounding, MS2.
IsolationPrecursorMz_MS2_MaxRepeatFraction	QCPRIDE:AAE8B64F7E3D2B6C4D9A	scalar	Largest fraction of paired isolation-width observations sharing one rounded (0.1 Th) first-precursor m/z target, MS2.
IsolationPrecursorMz_MS2_RepeatedFraction	QCPRIDE:8D2E4B9C7A1F6E5B3C0D	scalar	Fraction of paired isolation-width observations whose rounded (0.1 Th) first-precursor m/z target occurs at least twice, MS2.
MultiplePrecursors_MS2_Count	QCPRIDE:82C9F41E70F7A9F93FCC	scalar	Scans with multiple precursors; first precursor supplies precursor-distribution metrics, MS2.
ExtentPrecursorIntensity_95over5_MS2	QCPRIDE:BD6FAF3B9FAECC3FF579	scalar	95th/5th percentile ratio of positive recorded first-precursor MS2 intensities; ID-free proxy, no fragment-TIC fallback.
MS1_to_MS2_Ratio	QCPRIDE:3E6B36C0810EEDA24D7A	scalar	MS1 scan count divided by MS2 scan count; undefined when denominator is zero.
MS2_PrecursorCharge_Fractions	QCPRIDE:EF3BCB4B9E83C77AAC5B	table	Counts and fractions of first-precursor charges, denominator all MS2 scans; missing or nonpositive charge is unknown.
ChargeMean	QCPRIDE:E303A6C9571AC1DD9AD6	scalar	Mean positive first-precursor MS2 charge; unknown charges excluded.
ChargeMedian	QCPRIDE:3E06B5777AC79EC2AAC6	scalar	Median positive first-precursor MS2 charge; unknown charges excluded.
ChargeMin	QCPRIDE:87C7AAEB9CFD9A6651E1	scalar	Minimum positive first-precursor MS2 charge.
ChargeMax	QCPRIDE:7BEF7C9E6BFC65BFAB6D	scalar	Maximum positive first-precursor MS2 charge.
ChargeRatio_3over2	QCPRIDE:3263CF93B552C37EE7C0	scalar	Count of MS2 charge 3 divided by charge 2; unavailable unless both are present (rawQC convention).
ChargeRatio_4over2	QCPRIDE:D916EC99E4BD5371D2AE	scalar	Count of MS2 charge 4 divided by charge 2; unavailable unless both are present (rawQC convention).
